"estacion","ciudad","municipio","lat","lon","n","pm25_mean","pm25_sd","pm25_min","pm25_max","temp_mean","hr_mean"
"Santiago Acahualtepec","cdmx","Iztapalapa",19.34561,-99.009380833333,189,23.4875885679685,8.75358521625535,5.625,52.6,17.3528679426054,46.4388010873067
"Hospital General de México","cdmx","Cuauhtémoc",19.411666666667,-99.152222222222,52,22.7184894386696,6.27324847773664,13,45,19.1491504419494,33.1141463608855
"Gustavo A. Madero","cdmx","Gustavo A. Madero",19.482777777778,-99.094722222222,154,22.691684881201,8.35046022736922,3.33333333333333,80.5416666666667,19.355952666006,45.1777396051183
"Tlalnepantla","edomex","Tlalnepantla de Baz",19.529166666667,-99.204722222222,174,21.7647812386522,7.09220661265827,8.29166666666667,55.3571428571429,18.4497923530198,41.9405799762478
"San Agustín","edomex","Ecatepec de Morelos",19.533055555556,-99.030555555556,84,20.7093813692089,10.4217581435701,6.29166666666667,80.7916666666667,19.8488241973511,49.4937606491525
"UAM Iztapalapa","cdmx","Iztapalapa",19.360833333333,-99.073888888889,207,20.5673249669947,7.37377211183849,2,65.375,19.6750607111312,49.5448938711524
"Merced","cdmx","Venustiano Carranza",19.424722222222,-99.119722222222,235,20.5643331461035,7.69349366646938,3.73684210526316,60.4782608695652,20.0098420216078,47.768923473349
"UAM Xochimilco","cdmx","Coyoacán",19.304444444444,-99.103888888889,233,20.4920874820342,7.57831457052337,6.38461538461539,61.1052631578947,17.4642399921128,48.1519994327134
"Nezahualcóyotl","edomex","Nezahualcóyotl",19.393888888889,-99.028333333333,218,20.3665202634767,9.91538239587454,3,93.3846153846154,19.4607908205782,43.876879419764
"Benito Juárez","cdmx","Benito Juárez",19.371666666667,-99.159166666667,236,19.7514343168512,7.0202935755651,5.40909090909091,49.9583333333333,19.2437801921213,45.2544315673011
"FES Aragón","edomex","Nezahualcóyotl",19.473691944444,-99.046175833333,233,17.9703890218673,7.49933382616538,5.21052631578947,56.8636363636364,20.1301627889462,47.9603410051577
"Pedregal","cdmx","Álvaro Obregón",19.325277777778,-99.204166666667,181,16.2274918487933,6.13515654440143,4,39,17.1997585613859,49.6739803654651
"Ajusco Medio","cdmx","Tlalpan",19.272222222222,-99.207777777778,188,16.0292698616348,5.58422597139227,4.52631578947368,34.0666666666667,14.4702932764973,55.2246517596454
"Biblioteca","hidalgo","Tizayuca",19.840583333333,-98.981333333333,233,15.4060740638043,10.9230965534712,0.0204651388888889,61.0617745191273,14.5365325183361,50.9435887274553
