"estacion","mes","pm25_mean","pm25_q2.5","pm25_q97.5"
"Ajusco Medio","Octubre",14.2205241793806,12.8973788010508,15.6567335463648
"Ajusco Medio","Noviembre",17.0822011336974,15.2841527409419,19.0705572694173
"Ajusco Medio","Diciembre",18.3386710799255,16.8363815347462,19.9615074746866
"Benito Juárez","Octubre",13.9329718658166,13.0557078556786,14.826132685953
"Benito Juárez","Noviembre",16.7332373265159,15.5560160935319,17.9590395912646
"Benito Juárez","Diciembre",17.9721899025851,16.9169475726036,19.0866260153045
"Biblioteca","Octubre",10.2169606704441,9.4662739152015,11.0120180433531
"Biblioteca","Noviembre",12.2718538827863,11.2323734820905,13.3848542566322
"Biblioteca","Diciembre",13.1763764302825,12.3598975748056,14.0262835419502
"FES Aragón","Octubre",11.6128624308203,10.9236200796825,12.3373271292958
"FES Aragón","Noviembre",13.9455363324195,13.0814097443134,14.8606160121188
"FES Aragón","Diciembre",14.9809955812638,14.0253986397431,15.9793706891625
"Gustavo A. Madero","Octubre",12.8427067940414,11.9111190511933,13.8220830170261
"Gustavo A. Madero","Noviembre",15.4222812443344,14.2762744622057,16.6242006331807
"Gustavo A. Madero","Diciembre",16.5662461582219,15.3815163331678,17.816106886099
"Hospital General de México","Octubre",12.2323535396441,10.908105891379,13.6480759760652
"Hospital General de México","Noviembre",14.6899782514712,13.0731464378959,16.4287508196652
"Hospital General de México","Diciembre",15.777575909426,14.144243557902,17.5458885087983
"Merced","Octubre",13.7345481401401,12.8909737465822,14.5946682467301
"Merced","Noviembre",16.4937658276411,15.4334754244012,17.6026000887567
"Merced","Diciembre",17.7177102371889,16.6113089528716,18.8840367872314
"Nezahualcóyotl","Octubre",13.5611705285865,12.7036741652417,14.4500695508525
"Nezahualcóyotl","Noviembre",16.2864827884556,15.159595920933,17.4735361608622
"Nezahualcóyotl","Diciembre",17.492999567042,16.4063867344831,18.6311817859686
"Pedregal","Octubre",12.5763029565528,11.681305831062,13.4974743150366
"Pedregal","Noviembre",15.10470354102,13.9017311488451,16.3736037884072
"Pedregal","Diciembre",16.2210352585806,15.1592386669938,17.2986738513857
"San Agustín","Octubre",13.5206841897298,12.3627909858023,14.7771421403706
"San Agustín","Noviembre",16.2369065968214,14.8159997439881,17.7976733180088
"San Agustín","Diciembre",17.4419777468079,15.8948144716403,19.0903341961292
"Santiago Acahualtepec","Octubre",16.9791018673786,15.7337448752722,18.3067586052866
"Santiago Acahualtepec","Noviembre",20.3930130053532,18.7075512242695,22.1881004603979
"Santiago Acahualtepec","Diciembre",21.8989559585519,20.4516305861848,23.4453952548669
"Tlalnepantla","Octubre",15.2174365157925,14.1238963991415,16.3806974455602
"Tlalnepantla","Noviembre",18.276667839066,16.8081210311414,19.8373937791492
"Tlalnepantla","Diciembre",19.6276647491079,18.3088734554404,20.9962095414587
"UAM Iztapalapa","Octubre",12.7711109000579,11.9307638306109,13.6643614688762
"UAM Iztapalapa","Noviembre",15.3365729299426,14.2867360410912,16.470562132769
"UAM Iztapalapa","Diciembre",16.4744833403237,15.3628628982957,17.6406487373497
"UAM Xochimilco","Octubre",14.2937943796717,13.3211132946103,15.2978826243222
"UAM Xochimilco","Noviembre",17.1668847771209,15.8629505720466,18.50308842514
"UAM Xochimilco","Diciembre",18.4361670385914,17.3167610998467,19.5785506113846
